,stock_C,stock_E,stock_N,stock_P,stock_S,total_emissions
CH0SP0SE1WE1BP0RE1CO0DI0WO1CS0,106445369.0,4590768.0,11729927.0,15510246.0,1272242.0,1242831992952.8872
CH0SP0SE1WE1BP0RE1CO0DI0WO1CS1,106012142.0,4567859.0,11712743.0,15122636.0,2133172.0,1244297631423.8953
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS0,101611328.0,3387304.0,11173180.0,22057009.0,1319731.0,1217279163485.223
CH0SP0SE1WE1BP0RE1CO0DI1WO0CS1,101263400.0,3272028.0,11185844.0,21819861.0,2007419.0,1217935315215.8425
CH0SP0SE1WE1BP0RE1CO0DI1WO1CS0,101193791.0,5187830.0,10559756.0,21106581.0,1500594.0,1217905284707.2183
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS0,105076139.0,3399358.0,12450182.0,17418160.0,1204713.0,1248241386091.2441
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS1,104593825.0,3278923.0,12483713.0,16604217.0,2587874.0,1251305125340.2253
CH0SP0SE1WE1BP0RE1CO1DI0WO1CS0,104551949.0,5438041.0,11775114.0,16440612.0,1342836.0,1247197970032.312
CH0SP0SE1WE1BP0RE1CO1DI1WO0CS0,99140417.0,3781565.0,11265521.0,23948335.0,1412714.0,1214856243273.7498
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS0,110198736.0,1701761.0,16221546.0,10787214.0,639295.0,1242638188127.04
CH0SP0SE1WE1BP1RE0CO0DI0WO0CS1,110016826.0,1542858.0,16023717.0,10679098.0,1286053.0,1244986502551.9194
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS0,109700256.0,3175399.0,15602794.0,10373127.0,696976.0,1242266343182.745
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS1,109599465.0,3010316.0,15472852.0,10445111.0,1020808.0,1243639871882.5981
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS0,106706797.0,2216125.0,14187335.0,15416374.0,1021921.0,1232387375944.8145
CH0SP0SE1WE1BP1RE0CO0DI1WO0CS1,106450303.0,2212975.0,13986743.0,15325261.0,1573270.0,1234222219495.056
CH0SP0SE1WE1BP1RE0CO0DI1WO1CS0,106185661.0,4116745.0,13566244.0,14751480.0,928422.0,1231002134862.561
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS0,108666713.0,2102334.0,16279447.0,11672387.0,827671.0,1250044794354.809
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS1,108532448.0,1960618.0,16330895.0,11634905.0,1089686.0,1249738969023.2437
CH0SP0SE1WE1BP1RE0CO1DI0WO1CS0,108120781.0,3959153.0,15719163.0,11049905.0,699550.0,1247114179303.2424
CH0SP0SE1WE1BP1RE0CO1DI1WO0CS0,104845338.0,2625015.0,14412693.0,16812598.0,852908.0,1232874320023.648
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS0,107659088.0,1126467.0,9085744.0,20886829.0,790424.0,1400451654923.9695
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS1,107236729.0,1110494.0,9046463.0,20614469.0,1540397.0,1402242290368.4292
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS0,107408043.0,2142923.0,8893908.0,20026970.0,1076708.0,1401657873619.271
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS1,107174381.0,2165968.0,8936818.0,19862187.0,1409198.0,1402000460342.1677
CH0SP1SE0WE0BP0RE0CO0DI1WO0CS0,102924876.0,1354650.0,8096174.0,26455453.0,717399.0,1367879320810.259
CH0SP1SE0WE0BP0RE0CO0DI1WO0CS1,102559560.0,1304115.0,8027975.0,26154568.0,1502334.0,1369994252731.6953
CH0SP1SE0WE0BP0RE0CO0DI1WO1CS0,102543243.0,2515784.0,7845552.0,25750083.0,893890.0,1367689238783.4624
CH0SP1SE0WE0BP0RE0CO1DI0WO0CS0,105708497.0,1315315.0,9112169.0,22231429.0,1181142.0,1382517469441.2017
CH0SP1SE0WE0BP0RE0CO1DI0WO0CS1,105345402.0,1313158.0,9066725.0,22236956.0,1586311.0,1382869294800.7532
CH0SP1SE0WE0BP0RE0CO1DI0WO1CS0,105422265.0,2651343.0,8924632.0,21814130.0,736182.0,1379307171727.8477
CH0SP1SE0WE0BP0RE0CO1DI1WO0CS0,100340722.0,1566575.0,8003345.0,28415882.0,1222028.0,1346567709051.0837
CH0SP1SE0WE0BP0RE1CO0DI0WO0CS0,103557840.0,1796427.0,8887948.0,24189353.0,1116984.0,1371025847049.8682
CH0SP1SE0WE0BP0RE1CO0DI0WO0CS1,102984154.0,1797316.0,8859290.0,23736475.0,2171317.0,1373810540292.2114
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS0,103135175.0,3210660.0,8627296.0,23434091.0,1141330.0,1369557737862.6748
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS1,102539645.0,3125321.0,8658279.0,22911553.0,2313754.0,1372232622852.3843
CH0SP1SE0WE0BP0RE1CO0DI1WO0CS0,97233331.0,2137946.0,7785726.0,31285918.0,1105631.0,1327020983817.3303
CH0SP1SE0WE0BP0RE1CO0DI1WO0CS1,96932652.0,2044241.0,7822459.0,30644441.0,2104759.0,1330350433631.527
CH0SP1SE0WE0BP0RE1CO0DI1WO1CS0,96826810.0,3431569.0,7565936.0,30610209.0,1114028.0,1325148915971.7314
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS0,101370936.0,2141396.0,8810057.0,26134153.0,1092010.0,1350897750727.5117
CH0SP1SE0WE0BP0RE1CO1DI0WO0CS1,100824631.0,2009047.0,8813915.0,25675988.0,2224971.0,1353808208087.593
CH0SP1SE0WE0BP0RE1CO1DI0WO1CS0,101149256.0,3602207.0,8648603.0,25179051.0,969435.0,1349659708011.4966
CH0SP1SE0WE0BP0RE1CO1DI1WO0CS0,94551396.0,2255245.0,7678460.0,34064245.0,999206.0,1302229039476.4668
CH0SP1SE0WE0BP1RE0CO0DI0WO0CS0,107727677.0,1015365.0,12512099.0,17548468.0,744943.0,1386201548206.1533
CH0SP1SE0WE0BP1RE0CO0DI0WO0CS1,107451164.0,966210.0,12313284.0,17496299.0,1321595.0,1388288441909.5698
CH0SP1SE0WE0BP1RE0CO0DI0WO1CS0,107369585.0,2175323.0,12256417.0,16935737.0,811490.0,1385395918839.2798
CH0SP1SE0WE0BP1RE0CO0DI0WO1CS1,107106344.0,1983294.0,12147852.0,17087284.0,1223778.0,1386744578405.282
CH0SP1SE0WE0BP1RE0CO0DI1WO0CS0,102886807.0,1257510.0,10233069.0,24022850.0,1148316.0,1360981779418.713
CH0SP1SE0WE0BP1RE0CO0DI1WO0CS1,102672844.0,1250538.0,10231341.0,24000141.0,1393688.0,1360812981932.7385
CH0SP1SE0WE0BP1RE0CO0DI1WO1CS0,102640308.0,2443919.0,10098349.0,23309230.0,1056746.0,1359683051292.81
CH0SP1SE0WE0BP1RE0CO1DI0WO0CS0,105845317.0,1348386.0,12548280.0,19229367.0,577202.0,1365512980841.4219
CH0SP1SE0WE0BP1RE0CO1DI0WO0CS1,105399115.0,1218468.0,12296698.0,19155750.0,1478521.0,1368603289030.5852
CH0SP1SE0WE0BP1RE0CO1DI0WO1CS0,105452742.0,2577541.0,12232531.0,18547783.0,737955.0,1365546720631.4644
CH0SP1SE0WE0BP1RE0CO1DI1WO0CS0,100426027.0,1560681.0,10240600.0,26327596.0,993648.0,1336121405087.6863
CH0SP1SE0WE0BP1RE1CO0DI0WO0CS0,103628034.0,1728628.0,12119121.0,20871526.0,1201243.0,1358439816388.9565
CH0SP1SE0WE0BP1RE1CO0DI0WO0CS1,102970733.0,1567104.0,11947006.0,20638826.0,2424883.0,1361919512577.3635
CH0SP1SE0WE0BP1RE1CO0DI0WO1CS0,103356889.0,2996102.0,11980897.0,20206301.0,1008363.0,1356301557349.1772
CH0SP1SE0WE0BP1RE1CO0DI0WO1CS1,102739723.0,2927770.0,11742166.0,20125218.0,2013675.0,1359036749672.627
CH0SP1SE0WE0BP1RE1CO0DI1WO0CS0,97314327.0,1954793.0,9860888.0,29224397.0,1194147.0,1318775208771.4143
CH0SP1SE0WE0BP1RE1CO0DI1WO0CS1,97043953.0,1864800.0,9867881.0,28730648.0,2041270.0,1321689189364.9668
CH0SP1SE0WE0BP1RE1CO0DI1WO1CS0,96900638.0,3436893.0,9717067.0,28534158.0,959796.0,1315500086301.068
CH0SP1SE0WE0BP1RE1CO1DI0WO0CS0,101625096.0,2045876.0,12575115.0,22643835.0,658630.0,1334479347986.433
CH0SP1SE0WE0BP1RE1CO1DI0WO0CS1,100833829.0,1955230.0,12052160.0,22145209.0,2562124.0,1341969803197.3745
CH0SP1SE0WE0BP1RE1CO1DI0WO1CS0,101130898.0,3597627.0,11933452.0,21689593.0,1196982.0,1337202109110.1157
CH0SP1SE0WE0BP1RE1CO1DI1WO0CS0,94696022.0,2165869.0,9941761.0,31689677.0,1055223.0,1293690796299.3545
CH0SP1SE0WE1BP0RE0CO0DI0WO0CS0,107948785.0,1083836.0,9199707.0,20371605.0,944619.0,1256550298462.9382
